Minuto,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,V_15,V_16,V_17,V_18,V_19
0,89.43129800974008,97.0362299792016,93.7922848580615,112.46037408818273,83.26617493209909,106.35717888015647,79.39668396627995,82.1142595588586,95.07754700928774,97.50255065028462,7.212835299583812,19.697720959685217,17.089648225040285,2.9309612846232684,13.299345655162167,15.925919877195145,27.325166481920355,16.66127302796038,9.16195041703449,10.909991482660807
1,91.32153879950684,100.14042574277636,95.2061332261596,114.81955578525877,84.96898757946389,97.26795046116494,72.2281568438218,74.86380316982458,88.33037405736256,90.09956929946267,8.968824774698673,21.28626246816879,18.360430277735155,4.274008100206613,14.935295967949699,15.663132662004351,27.43245011226637,16.679771589330752,9.577869826250053,10.769765217400272
2,89.17149167493619,97.32348421332013,92.77924458330786,111.61783997903119,82.5675953558175,100.49574075100105,74.55855183042998,77.61211076842599,91.14078942750996,92.30309053026092,9.452769414840382,21.62347203236878,19.166722231478047,5.0807627860594575,16.59671246388476,18.45877944761009,31.020509295094108,19.963393935714233,12.772950334681902,13.857493638885217
3,88.00919515416426,97.5950595570782,91.98394790205614,111.71941158934828,81.96341644532491,101.9326543487309,75.2218539574105,77.88644675147496,91.67167063220967,93.3942879836772,4.035994447915127,15.570593763719016,14.240622781405984,-1.9280847246062327,9.979605891493632,15.723962773212786,27.3845826004476,15.967462593636512,10.11363409782358,10.210539042348824
4,92.46598524099431,100.5420910801369,95.63875525121608,115.88181760448342,85.08907941738283,102.2053105157696,75.90156494479083,78.2287495343667,92.32276183768715,93.89926929894021,9.538753167889515,23.3290527064255,19.979415181041038,6.155908497359144,17.85000896952348,16.838419110827857,29.363046999398392,18.62131248715835,11.558050508582408,12.455195750477616
5,90.93527826424511,100.6279127617148,96.72664268289347,116.5042092370011,85.36479126028097,104.15122948514612,76.95384264756099,80.66459928781721,93.52517468204137,95.43904050423808,9.086906731595588,21.447485322757537,20.151311071113525,4.75179916902396,16.400829670631488,15.963455556807483,27.75262146346865,17.495980609093202,10.24251376797765,11.644366606543638
6,94.12642883773378,104.0238645542224,97.34547417533419,119.37648098757809,87.78634505057937,105.05810159227734,76.79316075929428,79.7772657027125,93.23468259551585,95.8649337717106,6.813343029808146,18.79688975954776,16.48009245554788,2.0093803351692383,13.720935396777444,16.873352587235992,29.122076289784836,17.709553524219835,12.05452501233493,12.822961792631526
7,93.8002867194515,103.28466174925342,98.22319690917249,118.39371365581808,86.88047125198624,103.38614644109478,78.63996956951445,80.39564032718495,93.86436085926874,96.84482680756985,6.886447178008542,19.00507771253505,16.76577912401759,3.1288882924698527,13.795345817191768,14.964969339400149,25.3521616630292,14.585355844073403,8.224701486647755,8.45289629198198
8,93.69094231710879,104.21911355113228,97.79804304543677,120.28360357518915,87.79307298867094,104.33672603822849,77.85158111068039,80.78330030838514,94.09331004579009,95.5461847356262,7.923142144170314,21.09533929026663,18.147863192424822,3.518461720940563,15.29472389860687,14.634877029436364,26.181242911390907,15.225778849884389,8.55615172449673,9.131266228832901
9,93.01478094546398,100.93141165680508,95.69186340086999,116.38883188719026,85.76691816752532,101.30852457653172,75.29193867122656,78.11103466685397,91.7622640443743,92.36950802879824,5.997421778263985,17.77028042653602,15.899261791336215,1.2297338031159146,11.884257149936014,13.843045297227883,25.09299994269923,13.669268399092639,7.7126139052083,8.19691260676064
10,99.8105147264029,108.67329277620698,102.6069930655722,125.44257283011692,92.73839212719068,101.11286753259702,74.64796073255268,76.85043474950058,91.71067531804422,93.34135096850338,12.815870464836703,27.83514089342051,24.579780089482394,11.161762346967253,21.817002472187216,17.263593729099203,28.77444011468839,17.536435239907266,10.93501922146113,11.244058810904912
11,96.28888380182191,105.23820947463241,100.70888501346121,121.26170901148954,88.65755239008088,103.78970815531244,77.17103311012625,80.51321429899396,93.36654720960975,96.61392236561501,13.52438705254133,28.314143196858144,24.15164466146056,11.082360604513141,22.543811217658302,11.044089273226781,22.830436315949836,11.180129965423374,5.458885614802274,7.281634698911016
12,97.7256179080203,107.3387949193545,101.92893329075356,123.80524277541932,91.28427552195961,101.43863742784342,76.65140219966264,77.86877542103872,92.29901767240084,93.82867200890095,11.477174736735686,24.34193838393532,21.031598527829747,7.70434518085124,18.003144954453248,17.231076926465217,28.821279053733207,18.60885298309674,9.645776579967114,11.395876238746707
13,95.95565397922756,104.87640264266376,99.73348642146755,120.99548443705889,89.72592504243289,100.13371639528224,74.65224572335838,76.60667132432476,90.30074488362781,91.87012438155358,9.271733629838605,22.656701953451286,19.930192611831114,3.9195753011809167,16.138169478002236,12.117723178322937,21.92009864531451,10.766574873146423,5.730128628649245,5.982829626295397
14,99.15006621349048,108.56103252800168,101.95966533083885,124.92965511997141,92.49762554605745,104.4101413573462,79.23296622122285,80.58793354952971,94.7815169543168,96.01933248270382,9.646232436466041,21.906584734671142,19.444662257011576,5.975089483502064,16.73740724006958,11.116412575832518,22.108318767923866,10.045097936000868,5.071849516919228,5.579552936122642
15,95.82807281649937,104.85303711508725,100.47539417669523,122.36789689252237,89.75467554135435,105.08731635499053,78.79677121704445,81.38225448952255,95.48269288667716,97.27334355264641,11.331050287690122,26.50752491131668,22.900924910086964,9.071921159541029,20.970402430592518,13.918019160873827,25.02525222290391,14.532820970835155,8.740028340143718,8.572903912456512
16,100.19786252106772,110.36333274246886,103.6053568196876,127.08397572504364,93.66446793156858,105.77276550854162,78.27922175840338,81.60813205576522,94.6545967632442,97.18058915027167,15.043188308394926,30.364279664670352,25.59701850410331,12.20137930754502,22.74807206059881,15.907927702058425,28.108490419431902,16.52520138183437,10.060584528990535,11.431364667285584
17,99.86858778765716,108.55784572530104,102.92891251740743,125.9728078247567,92.76461631795055,103.89708520483983,76.70822019762744,79.64437194935513,93.69772444206893,95.03711436220618,9.468296860851307,21.638543770173424,18.910481672770636,5.2322482578972505,16.02603764373125,13.095326136756631,23.593362186054254,13.074178883769871,6.087278855468352,8.167156962175909
18,100.01067085457507,109.45902270694262,104.12210967695722,126.84106385769077,94.4120369493357,102.3615516392332,77.41405260385812,79.73182613652632,93.40212583125565,94.42465834484344,8.535983764619495,20.314107451792424,17.590704828319616,3.878694187918861,14.213967558543938,12.941917598443931,23.08404803931396,13.20088663904352,6.918038612516145,7.3627592702332985
19,102.79454068183468,111.81925095253214,106.41097440494597,130.02540107354494,95.18381599199235,105.16039316776788,78.47302699607998,80.34036202235916,93.83027804794803,96.65468319584423,13.346877848821787,29.634882368253873,25.37975037686823,12.737917617528057,22.641757624552355,11.07220842051567,22.134846232391904,10.692058308447802,4.080270924133993,6.341454377258973
20,98.77988048576827,108.516000634422,103.65245261494869,125.7998902573964,93.0073067871089,101.1278558532969,74.76592202998,78.20573804985821,90.45088329724523,92.32579840132532,6.4354238085766,17.624865205293624,16.408124624374143,1.7356426507884777,12.729984840366525,18.314498907234064,30.778668495965217,18.832408214663996,12.668221475360822,13.398507600242432
21,100.82612500756674,110.39878333369866,104.36134755557494,128.16631968245582,94.01123814946746,103.4131229029014,78.44064384325657,80.09966199632383,94.47277342356918,96.22512482779608,7.324451683830341,21.250897988490326,18.23692107283051,5.073726361015936,15.543037928098235,13.223527282281196,24.682157392437308,13.137041952226483,7.853595426396519,8.887452737618135
22,103.78936157876004,113.28814779734668,107.05961029304665,131.83075452476976,97.64529737039874,101.97170265021822,75.50611483898885,78.76264250558955,92.90565537918276,93.53088003099704,10.357861587830634,23.38788240489943,21.43649877492404,6.6872648006073065,16.843627870243775,11.461718279880898,21.3429892368718,10.592210519782705,4.436806649506308,5.2676042877307925
23,107.968476166736,117.1455152381338,110.44369080605011,135.62677537955202,100.11100561751046,103.57735293234329,77.15337867413652,79.22595779509906,93.69370846472728,95.41181501771548,6.594443831637537,18.751054018670626,16.651805416906114,2.2967446015409796,13.833280503070371,10.892070621719306,21.29073777957335,9.289632918988929,4.4740014817588705,4.996394185392312
