function_name,algorithm_name,best_value,total_evaluations,tuning_evaluations,final_evaluations,selected_parameters,best_point
Funcion_1,Random Search,134.92692860969973,40000,0,0,"(sin parametros)","[-3.7516; 1.7489; 5.2972; 2.9751; 6.0142; 6.1732; 2.5139; 6.5495; 5.6407; 7.7017]"
Funcion_1,Hill Climbing,18.341188330231034,40000,0,0,"initial_step=1.5; minimum_step=0.03; neighbors_per_iteration=30; shrink_factor=0.6","[0.2018; 0.4317; 2.6167; 8.7970; 7.1366; 0.2963; 3.4869; 5.6954; 9.8796; 8.9842]"
Funcion_1,Simulated Annealing,28.140283735611263,40000,0,0,"cooling_rate=0.995; initial_temperature=20.0; minimum_temperature=0.001; step_size=1.0","[0.2748; 3.5972; 5.5368; 5.8392; 8.2712; 1.2257; 2.3713; 3.7422; 7.8789; 10.0000]"
Funcion_1,Coordinate Search,44.900834501221354,1941,0,0,"initial_step=1.5; minimum_step=0.02; reduction_factor=0.6","[-1.7825; 0.4048; 7.5760; 6.8049; 6.1001; -0.6805; 4.4894; 2.7029; 4.9233; 10.0000]"
Funcion_1,Tabu Search,21.34772254174942,40000,0,0,"minimum_step=0.2; neighbors_per_iteration=40; signature_decimals=2; step_decay=0.998; step_size=1.5; tabu_tenure=30","[-0.8730; 3.3272; 6.5261; 6.7724; 8.1087; 3.1959; 3.5182; 6.7279; 8.9362; 7.0323]"
Funcion_1,Random Restart Hill,78.31549694691694,40000,0,0,"initial_step=1.5; minimum_step=0.03; neighbors_per_iteration=30; restart_budget=350; shrink_factor=0.6","[2.3057; 2.2659; 1.5511; 3.7289; 5.0374; -1.7895; -0.4775; 5.7504; 6.9603; 6.0259]"
Funcion_1,Particle Swarm (PSO),7.964708361833942,40000,0,0,"cognitive=1.5; inertia=0.7; social=1.5; swarm_size=30","[0.2000; 1.4050; 4.6000; 6.8000; 7.1050; 1.3000; 4.4950; 5.7000; 5.9101; 10.0000]"
Funcion_1,Differential Evolution (DE),13.291808953619906,40000,0,0,"cr_rate=0.7; f_weight=0.8; pop_size=40","[0.2254; 2.4205; 4.5926; 7.6322; 9.0537; 1.2864; 3.5980; 4.7978; 7.8517; 10.0000]"
Funcion_2,Random Search,10445.406156929415,40000,0,0,"(sin parametros)","[-5.5535; -7.6047; -6.1446; -4.5079; -2.7570; 1.7630; 2.8226; 2.1781; 3.3532; 4.9802]"
Funcion_2,Hill Climbing,8.510406277805306,40000,0,0,"initial_step=1.5; minimum_step=0.03; neighbors_per_iteration=30; shrink_factor=0.6","[-6.1718; -5.1376; -4.3033; -3.0920; -2.5874; 0.7017; 1.5082; 2.9077; 3.8333; 4.1913]"
Funcion_2,Simulated Annealing,222.26983289280946,40000,0,0,"cooling_rate=0.995; initial_temperature=20.0; minimum_temperature=0.001; step_size=1.0","[-6.1443; -4.8506; -4.1662; -3.3464; -2.1280; 0.7010; 0.3728; 4.2579; 6.2069; 9.6101]"
Funcion_2,Coordinate Search,0.2184414409639226,3301,0,0,"initial_step=1.5; minimum_step=0.02; reduction_factor=0.6","[-5.3909; -4.2058; -3.2993; -2.1061; -1.6217; 1.6695; 2.4261; 3.7679; 4.5541; 4.7717]"
Funcion_2,Tabu Search,10.289338998393267,40000,0,0,"minimum_step=0.2; neighbors_per_iteration=40; signature_decimals=2; step_decay=0.998; step_size=1.5; tabu_tenure=30","[-6.3732; -5.1699; -4.3064; -2.9897; -2.5594; 0.6754; 1.5358; 2.8775; 3.8207; 4.1885]"
Funcion_2,Random Restart Hill,3794.7969579845017,40000,0,0,"initial_step=1.5; minimum_step=0.03; neighbors_per_iteration=30; restart_budget=350; shrink_factor=0.6","[-4.9246; -3.5285; -2.7430; -1.9500; -3.2594; 2.3006; 2.7372; 2.9674; 3.9506; -0.8049]"
Funcion_2,Particle Swarm (PSO),228.26081688927079,40000,0,0,"cognitive=1.5; inertia=0.7; social=1.5; swarm_size=30","[-7.3473; -4.2924; -3.4711; -2.4108; -2.1258; 0.9186; 1.5154; 1.5301; 6.1855; 10.0000]"
Funcion_2,Differential Evolution (DE),0.26294909505015224,40000,0,0,"cr_rate=0.7; f_weight=0.8; pop_size=40","[-5.4037; -4.1994; -3.3014; -2.1059; -1.6134; 1.6502; 2.3929; 3.7034; 4.4472; 4.6091]"
Funcion_3,Random Search,7.896269928484793,40000,0,0,"(sin parametros)","[1.0786; 3.6888; 5.8396; 7.9937; 6.0534; -0.5531; -5.0790; -3.9899; 1.6329; -5.5211]"
Funcion_3,Hill Climbing,0.06449558464971306,40000,0,0,"initial_step=1.5; minimum_step=0.03; neighbors_per_iteration=30; shrink_factor=0.6","[2.5049; 3.3979; 2.7066; 4.7709; 5.6938; -2.1226; -3.1896; -1.8931; -0.4140; -5.5931]"
Funcion_3,Simulated Annealing,2.3840221939754724,40000,0,0,"cooling_rate=0.995; initial_temperature=20.0; minimum_temperature=0.001; step_size=1.0","[2.6012; 3.1271; 2.3974; 4.9477; 6.2800; -1.9773; -3.0971; -1.7552; -0.4435; -5.8866]"
Funcion_3,Coordinate Search,0.04112436932494079,2081,0,0,"initial_step=1.5; minimum_step=0.02; reduction_factor=0.6","[2.4944; 3.3897; 2.6908; 4.8082; 5.7087; -2.0951; -3.1888; -1.8936; -0.4123; -5.5884]"
Funcion_3,Tabu Search,0.4493314903460157,40000,0,0,"minimum_step=0.2; neighbors_per_iteration=40; signature_decimals=2; step_decay=0.998; step_size=1.5; tabu_tenure=30","[2.5266; 3.4922; 2.7589; 4.7855; 5.6345; -2.1135; -3.1571; -1.9444; -0.5267; -5.6497]"
Funcion_3,Random Restart Hill,5.96535292608521,40000,0,0,"initial_step=1.5; minimum_step=0.03; neighbors_per_iteration=30; restart_budget=350; shrink_factor=0.6","[2.5017; 3.4718; 1.8026; 5.7405; 2.6859; -3.0634; -2.2593; -4.9762; -1.2306; -7.7164]"
Funcion_3,Particle Swarm (PSO),3.9968028886505635e-15,40000,0,0,"cognitive=1.5; inertia=0.7; social=1.5; swarm_size=30","[2.5000; 3.4000; 2.7000; 4.8000; 5.7000; -2.1000; -3.2000; -1.9000; -0.4000; -5.6000]"
Funcion_3,Differential Evolution (DE),5.756370047294013e-09,40000,0,0,"cr_rate=0.7; f_weight=0.8; pop_size=40","[2.5000; 3.4000; 2.7000; 4.8000; 5.7000; -2.1000; -3.2000; -1.9000; -0.4000; -5.6000]"
Funcion_4,Random Search,19.781365444050877,40000,0,0,"(sin parametros)","[2.1109; -4.1308; 6.3126; -2.1704; 8.1829; -9.3267; -4.9054; -6.2180; 8.7512; -7.3361]"
Funcion_4,Hill Climbing,0.0011267066916019852,40000,0,0,"initial_step=1.5; minimum_step=0.03; neighbors_per_iteration=30; shrink_factor=0.6","[2.4226; -3.5043; 7.7973; -2.1968; 5.2855; -6.4088; -4.9003; -6.1100; 8.5101; -7.7093]"
Funcion_4,Simulated Annealing,0.49295007191416507,40000,0,0,"cooling_rate=0.995; initial_temperature=20.0; minimum_temperature=0.001; step_size=1.0","[2.3874; -3.7239; 7.9079; -2.2002; 5.6359; -6.2912; -5.2109; -5.7561; 8.5139; -8.0021]"
Funcion_4,Coordinate Search,0.0008114092907706417,2101,0,0,"initial_step=1.5; minimum_step=0.02; reduction_factor=0.6","[2.4044; -3.4909; 7.7875; -2.1906; 5.3069; -6.4079; -4.9072; -6.0883; 8.4879; -7.7042]"
Funcion_4,Tabu Search,0.04353146474381007,40000,0,0,"minimum_step=0.2; neighbors_per_iteration=40; signature_decimals=2; step_decay=0.998; step_size=1.5; tabu_tenure=30","[2.3665; -3.4401; 7.7845; -2.0926; 5.1983; -6.4738; -4.8997; -6.0327; 8.4265; -7.7364]"
Funcion_4,Random Restart Hill,17.175281309226524,40000,0,0,"initial_step=1.5; minimum_step=0.03; neighbors_per_iteration=30; restart_budget=350; shrink_factor=0.6","[1.9154; -1.6777; 7.5414; 0.0723; 6.0538; -4.9262; -4.4059; -4.7305; 6.6476; -8.0128]"
Funcion_4,Particle Swarm (PSO),12.379999999999999,40000,0,0,"cognitive=1.5; inertia=0.7; social=1.5; swarm_size=30","[2.4000; -3.5000; 10.0000; -2.2000; 5.3000; -6.4000; -4.9000; -6.1000; 10.0000; -10.0000]"
Funcion_4,Differential Evolution (DE),4.960035716611678e-18,40000,0,0,"cr_rate=0.7; f_weight=0.8; pop_size=40","[2.4000; -3.5000; 7.8000; -2.2000; 5.3000; -6.4000; -4.9000; -6.1000; 8.5000; -7.7000]"
Funcion_5,Random Search,0.6109985838848785,40000,0,0,"(sin parametros)","[-0.9873; 3.2518; -0.0748; 2.5946; 8.4682; -3.3584; -9.6033; 9.5923; -3.6400; -3.2651]"
Funcion_5,Hill Climbing,0.10344930514449202,40000,0,0,"initial_step=1.5; minimum_step=0.03; neighbors_per_iteration=30; shrink_factor=0.6","[8.2422; 6.7795; -0.6292; -9.4953; 8.5099; -3.8947; 0.1403; 9.0862; 6.8926; -4.3797]"
Funcion_5,Simulated Annealing,0.14339452037987122,40000,0,0,"cooling_rate=0.995; initial_temperature=20.0; minimum_temperature=0.001; step_size=1.0","[-4.3315; -2.0599; 5.1580; -3.3104; 1.5909; -3.7964; 0.7373; 0.5271; -2.1464; 5.0557]"
Funcion_5,Coordinate Search,0.6955082675359657,941,0,0,"initial_step=1.5; minimum_step=0.02; reduction_factor=0.6","[-7.4445; -10.0000; -6.0378; 3.0629; -5.4674; -10.0000; 0.1369; 9.0936; -10.0000; 5.5119]"
